,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
113,West Ham,Burnley,0,3,1.2168128577525792,1.2870839361526003,1.8609876205827987,1.39039788160289,6.868521263485862,3.2023354424370662,6.752984437488374,6.511814335414341,10.453631942991226,12.953023807586186,10.877903154161242,8.857085927327475
114,Bournemouth,Newcastle United,1,2,0.9664363573209247,0.8789315580403645,1.775863165526133,1.8237700646440054,5.45828365749783,3.2881017170255147,8.86024393959651,9.292591446165055,14.271938336084759,25.93295708308144,10.13609363616459,6.255609518384176
115,Sheffield United,Tottenham,1,1,1.2499947570465815,1.3997068771345593,1.266406376562076,1.1858153251444017,5.506338876391213,6.0576418437655,6.265223148890904,6.801193055652437,14.352206529889788,11.11883745950366,13.567118762788319,10.491660853794642
116,Arsenal,Leicester,0,2,1.3649416843257842,1.7950377058361644,1.446555153700014,1.3348671010683093,7.670939478798518,8.332388656858413,6.964090389675565,6.56073985024104,12.163671802339099,10.081663270980593,11.482883041624039,13.544461410764665
117,Brighton,Man Utd,1,3,1.2449809136944,1.8445349604803902,1.7560594490034074,1.0192584085738772,6.837157197982545,7.434786066933283,7.655648634168838,5.1467132568359375,10.116765800354973,9.598506346203031,14.884224386063835,11.632698095412483
118,Aston Villa,Wolves,1,2,1.2095925823603797,1.5409361298018927,2.093028168424649,1.1316960227018569,5.135551246764168,5.238172294980004,10.761500973171659,5.53350849454365,12.780297367156498,12.319888802180213,8.053932189941406,11.130543263753257
119,Man City,Liverpool,1,3,2.503750658510238,2.0607996604217047,1.0846564488157604,0.8959424647336977,13.693646954733229,11.21444326733786,3.609130060105097,4.452534860277932,9.017471386137462,9.639827001662482,24.251488422212145,21.795971825009303
120,Tottenham,West Ham,3,2,1.4487833827193521,1.2327122733092801,1.2634154012742016,1.9171463651017624,6.509567214503433,6.510861206054687,7.128411553122779,7.536939690329811,10.931617574980766,12.160285036491626,10.560221724076705,10.519816647153913
121,Liverpool,Crystal Palace,2,1,2.1159410394934457,0.894635569193996,0.892299670882166,1.4774909821243516,11.477423118822504,6.539800875114672,4.15923782117439,8.453851133404356,9.110743956132367,14.109727963534269,22.66888219659979,7.811378166892311
122,Burnley,Watford,3,0,1.2199593936002096,1.379752064478926,1.476101114257304,1.6822316145268064,3.102229285962654,6.65395322857481,7.124913683804598,6.8194179650509,12.955159089059542,13.280618112737482,9.090854748812589,10.600759806777491
123,Norwich,Everton,2,0,1.0863996332264292,1.47755217526259,1.7930326962797918,1.4053630291059556,5.790633808482777,6.282534096457741,8.669247367165305,5.568396678115382,11.719401989561138,9.534498642430162,8.959087279348662,11.160647756403144
124,Leicester,Brighton,2,0,1.8896550828436118,1.2855885994355636,1.351921369201568,1.643993564957798,8.771825536092123,6.935468234437884,6.035251675230084,7.353119150797525,9.896133122299656,10.02054917306611,13.246985892093543,14.662214186697295
125,Southampton,Arsenal,2,2,1.5703632032238355,1.3408787895837033,1.2970264058014724,1.5262576467136497,5.618244726007635,7.231351320671312,6.4455487453576294,7.011177190144856,7.896681213378907,12.201686720414596,11.434300763679275,11.324570176095673
126,Wolves,Bournemouth,2,1,1.5587440329927156,0.9479687047154282,1.1668002489426814,1.758875294365854,5.045528099753639,5.2101798548842915,5.463803562973484,8.684778305978487,13.168984765717477,14.395941138989997,11.079154933582654,9.53899847088438
127,Chelsea,Man City,1,2,2.00952951947292,2.5656301740325,1.0603950148110823,1.0367065647786804,9.290273562344638,14.207572093154445,4.856008911132812,3.535987784645774,9.07890290924997,8.607586323131216,14.847146213415897,24.603693493929775
128,Man Utd,Sheffield United,3,3,1.7234883713676454,1.240264995362646,1.045184571820519,1.3266342685365273,7.415023063890862,5.301505291100704,5.503680836070668,6.571349369395863,9.79857423955744,14.608924414894798,11.967575454711914,13.314067909934304
129,Newcastle United,Aston Villa,0,2,0.7995855326748935,1.2280026922530898,1.8402168798874592,2.0439077971326194,3.1386425480698095,5.356662553729433,9.142928198612097,10.272341838027494,25.66327721566865,12.65392021410393,6.334899994821259,8.142389817671342
130,Man City,Newcastle United,2,2,2.631778916781146,0.8248558438134397,0.9805691329129023,1.8770378432254817,14.448923255939675,3.1328657752335674,3.4303216269522006,9.220306190336593,8.290603559667414,25.135640665015785,24.745206265016037,6.279279161703706
131,Brighton,Liverpool,1,2,1.315734657792415,2.200689329514552,1.495436249751223,0.8583177262620758,6.9798237246696395,11.4158638222049,7.005072519514296,4.069269578625457,9.478026290855022,8.89779629129352,14.259621928918243,23.22434543840813
