,round,teamA,teamB,A_scored,B_scored,A_xG,B_xG,A_xGA,B_xGA,A_ppg,B_ppg,A_gpg,B_gpg,A_cpg,B_cpg,A_deep,B_deep,A_deep_allowed,B_deep_allowed,A_ppda,B_ppda,A_ppda_allowed,B_ppda_allowed
78,8,Bournemouth,Arsenal,0,1,1.1783966177083334,1.4217313145833335,1.6015281585937502,1.5986661076822917,1.5714285714285714,1.7142857142857142,1.8571428571428572,1.7142857142857142,1.7142857142857142,1.5714285714285714,5.332682291666666,8.762174479166667,8.130143229166666,6.927669270833333,11.256380208333333,10.632682291666665,9.410091145833334,12.6431640625
79,8,Man Utd,Newcastle United,0,1,1.8596027709635417,0.8555329083333334,1.0368789219401042,1.7873047436197917,1.2857142857142858,0.7142857142857143,1.2857142857142858,0.5714285714285714,1.0,1.8571428571428572,6.660937499999999,2.9136067708333337,3.884114583333333,10.063802083333332,11.183528645833334,26.10657552083333,10.874934895833333,6.372395833333334
80,9,West Ham,Everton,0,2,1.2529644855840774,1.5232967173549108,1.9040882965029762,1.288546705747768,1.5,0.875,1.375,0.75,1.375,1.625,7.639769345238095,7.4210007440476184,7.0186151413690485,5.611648995535715,9.61855933779762,8.68404017857143,11.52646484375,10.448349144345238
81,9,Burnley,Leicester,1,2,1.4856242642392115,2.0205458046679685,1.3425781519159226,0.9696699232514882,1.5,1.75,1.375,1.75,1.125,0.875,3.708658854166667,9.07441871279762,6.759556361607142,5.646823846726191,13.104110863095238,7.811430431547619,8.738248697916667,13.986397879464285
82,9,Norwich,Bournemouth,0,0,0.9327009507440476,1.0808997164434524,2.0387011152250745,1.6433570758370535,0.75,1.375,1.25,1.625,2.625,1.625,6.0529668898809526,5.308919270833333,9.24467075892857,8.62084728422619,11.538420758928572,13.166638764880952,9.388997395833334,10.30937034970238
83,9,Brighton,Aston Villa,1,2,1.28496521359747,1.3649484970889136,1.9254733067615324,1.9596208152994792,1.125,1.0,1.0,1.625,1.25,1.5,6.837569754464286,5.428436569940477,8.141080729166667,11.926985677083334,9.766062127976191,12.420126488095239,15.031812686011904,7.682486979166667
84,9,Newcastle United,Chelsea,0,1,0.8649926291666667,2.079372696344866,1.8035755476469493,1.1603696057384671,1.0,1.75,0.625,2.25,1.625,1.75,3.0626348586309526,8.960611979166666,10.344959077380953,4.974813988095238,27.45610584077381,9.938341703869048,6.27436755952381,14.457598586309523
85,9,Southampton,Wolves,1,1,1.4462827709914434,1.5760436263485864,1.811356451660156,1.1221454905598958,0.875,1.25,1.0,1.375,1.875,1.375,5.410221354166667,5.519684709821429,8.139318266369047,5.225595238095238,9.60615699404762,12.951818266369047,10.659291294642856,12.13662109375
86,9,Watford,Tottenham,1,1,1.1285149344122023,1.4298282500093007,1.75005495015811,1.2458645760230656,0.375,1.375,0.5,1.75,2.5,1.5,5.984077380952382,5.440457589285714,6.704650297619048,6.5809849330357135,14.309016927083333,11.681631324404762,10.813890438988096,11.437351190476189
87,9,Man City,Crystal Palace,2,0,2.7987691543898805,0.9118800675734748,1.0139078479213168,1.7048968956194197,2.0,1.75,3.375,1.0,1.125,1.0,16.767266555059525,5.5270879836309526,4.309719122023809,8.818005952380952,7.966694568452381,15.60506882440476,23.06224423363095,7.9052222842261894
88,9,Liverpool,Man Utd,1,1,1.9635972165178572,1.8797365730375741,0.9311399853180804,1.1030374989443825,3.0,1.125,2.5,1.125,0.75,1.0,11.23306361607143,6.470870535714285,3.970196242559523,5.320963541666666,8.663034784226191,11.884705171130953,22.36177455357143,8.883868117559524
89,9,Arsenal,Sheffield United,0,1,1.4284717206845237,1.1718258989862351,1.5824999571335565,1.3243769909179688,1.875,1.125,1.625,0.875,1.375,0.875,8.350590587797619,5.652943638392857,6.504264322916667,5.987551153273809,11.944633556547618,12.498804873511904,12.454366629464285,13.056677827380952
90,10,Leicester,Southampton,9,0,1.9723235668762205,1.4848509728044783,1.0940518030482702,1.7566966109313964,1.8888888888888888,0.8888888888888888,1.7777777777777777,1.0,0.8888888888888888,1.7777777777777777,8.444767543247767,5.50958251953125,6.606397356305804,8.318110874720983,9.323216029575892,9.443272181919642,13.362248011997767,10.430585588727677
